CODIGO;FACTURA;VALOR
865000;3003634136 - 53;$7.602.720
860001;3003633120 - 11;$17.840
860002;3003633121 -10;$406.210
860003;3003633122 -18;$1.482.770
860004;3003633123 -16;$527.300
860005;3003633124 - 14;$34.310
860006;3003633125 - 12;$527.300
860007;3003633126 - 10;$1.625.580
860008;3003633127 - 19;$1.100.840
860009;3003633128 - 17;$490.410
860010;3003633129 -15;540.000
860011;3003633130 - 29;$46.760
860012;3003633131 - 27;$17.840
860013;3003633132 - 25;$15.120
860014;3003633133 - 23;$38.220
860015;3003633134 - 21;$0
860016;3003633135 - 20;$57.660
860017;3003633136 - 28;$59.170
860018;3003633137 - 26;528.480
860019;3003633138 - 24;$35.830
860020;3003633139 - 22;$939.200
860021;3003633140 - 36;$21.150
860022;3003633141 - 34;$17.840
860023;3003633142 - 32;$17.840
860024;3003633143 - 30;$17.840
860025;3003633144 - 39;$35.670
860026;3003633145 -37;$17.840
860027;3003633146 - 35;$17.840
860028;3003633147 - 33;$17.840
860029;3003633148 - 31;$17.840
860030;3003633149 - 30;514.930
860031;3003633150 - 43;$17.840
860033;3003633151 -41;$17.840
860034;3003633152 - 40;$17.840
860035;3003633153 - 48;514.930
860036;3003633154 - 46;$17.840
860037;3003633155 - 44;$116.110
860038;3003633156 - 42;$17.840
860039;3003633157 - 40;$436.950
860040;3003633158 - 49;$15.210
860041;3003633159 - 47;$123.790
860042;3003633160 - 50;517.830
860043;3003633161 -59;$47.030
860044;3003633162 -57;$15.210
860045;3003633163 -55;$15.210
860046;3003633164 -53;$15.230
860047;3003633165 -51;$16.720
860048;3003633166 - 50;$436.950
860049;3003633167 -58;$17.840
860050;3003633168 -56;$0
860051;3003633169 - 54;$17.840
860052;3003633170 - 68;$17.840
860053;3003633171 -66;$17.840
860054;3003633172 - 64;510.700
860055;3003633173 - 62;$351.110
860056;3003633174 -60;$41.190
860057;3003633175 - 69;$412.300
860058;3003633176 - 67;$406.210
860059;3003633177 -65;$93.730
860060;3003633178 - 63;$17.840
860061;3003633179 -61;$0
860062;3003633180 - 75;$308.590
860063;3003633181 - 73;$161.570
860064;3003633182 - 71;$42.360
860065;3003633183 - 70;$36.940
860066;3003633184 - 78;$0
860067;3003633185 -76;$17.840
860068;3003633186 - 74;$32.530
860069;3003633187 - 72;$46.760
860071;3003633188 - 70;$594.990
860072;3003633189 - 79;$29.200
860073;3003633190 - 82;$527.300
860074;3003633191 -80;$17.840
860075;3003633192 - 89;$81.030
860076;3003633193 - 87;$88.950
860077;3003633194 - 85;$17.840
860078;3003633195 - 83;$15.210
860079;3003633196 - 81;$43.310
860080;3003633197 - 80;$38.880
860081;3003633198 - 88;$32.610
860082;3003633199 - 86;$17.840
860083;3003633200 - 13;554.760
860084;3003633201 - 11;$171.020
860085;3003633202 - 10;$15.230
860086;3003633203 - 18;$17.840
860088;3003633204 - 16;$35.570
860089;3003633205 - 14;$76.900
860090;3003633206 - 12;$0
860091;3003633207 - 10;$15.210
860092;3003633208 - 19;$17.840
860093;3003633209 - 17;$5.350
860094;3003633210 - 20;$527.300
860095;3003633211 - 29;$17.840
860096;3003633212 - 27;$17.840
860097;3003633213 - 25;$17.840
860098;3003633214 - 23;$43.570
860099;3003633215 - 21;541.280
860100;3003633216 - 20;$17.580
860101;3003633217 - 28;$17.840
860102;3003633218 - 26;$17.840
